text,sentiment
Delivery was late,negative
Waste of money,negative
Average product,neutral
Terrible service,negative
It is okay,neutral
Delivery was late,negative
Very satisfied,positive
Excellent quality,positive
Waste of money,negative
Poor quality,negative
Highly recommend,positive
Works perfectly,positive
Average product,neutral
Poor quality,negative
App keeps crashing,negative
Fantastic support,positive
It is okay,neutral
Decent overall,neutral
It is okay,neutral
Waste of money,negative
Poor quality,negative
Waste of money,negative
Support was rude,negative
Support was rude,negative
Fair enough,neutral
Terrible service,negative
Nothing special,neutral
Highly recommend,positive
Very disappointed,negative
Amazing experience,positive
App keeps crashing,negative
Amazing experience,positive
Super easy to use,positive
Bad experience,negative
Fantastic support,positive
Terrible service,negative
Average product,neutral
Great product,positive
Highly recommend,positive
Very satisfied,positive
App keeps crashing,negative
Fantastic support,positive
Highly recommend,positive
Bad experience,negative
Terrible service,negative
Works as expected,neutral
Excellent quality,positive
App keeps crashing,negative
It is okay,neutral
Very satisfied,positive
Not worth it,negative
Fantastic support,positive
Average product,neutral
Average product,neutral
Great product,positive
Fast delivery,positive
Waste of money,negative
Amazing experience,positive
Waste of money,negative
It is okay,neutral
Support was rude,negative
Decent overall,neutral
Great product,positive
Super easy to use,positive
Excellent quality,positive
Works as expected,neutral
Very satisfied,positive
Delivery was late,negative
Support was rude,negative
Great product,positive
Poor quality,negative
Highly recommend,positive
Bad experience,negative
Great product,positive
Fair enough,neutral
Highly recommend,positive
Highly recommend,positive
Amazing experience,positive
Great product,positive
Support was rude,negative
Very satisfied,positive
App keeps crashing,negative
Super easy to use,positive
It is okay,neutral
Bad experience,negative
It is okay,neutral
Amazing experience,positive
Bad experience,negative
Very disappointed,negative
Highly recommend,positive
Average product,neutral
Waste of money,negative
Very satisfied,positive
Highly recommend,positive
Very disappointed,negative
It is okay,neutral
Amazing experience,positive
Amazing experience,positive
Highly recommend,positive
Amazing experience,positive
Not worth it,negative
Amazing experience,positive
Fair enough,neutral
Fantastic support,positive
Nothing special,neutral
Decent overall,neutral
Fair enough,neutral
Amazing experience,positive
Waste of money,negative
Bad experience,negative
Decent overall,neutral
Works perfectly,positive
App keeps crashing,negative
App keeps crashing,negative
App keeps crashing,negative
It is okay,neutral
App keeps crashing,negative
Very disappointed,negative
Terrible service,negative
Delivery was late,negative
Highly recommend,positive
Very satisfied,positive
Not worth it,negative
Great product,positive
Great product,positive
Waste of money,negative
Very disappointed,negative
Not worth it,negative
Very disappointed,negative
Nothing special,neutral
Fair enough,neutral
Poor quality,negative
Fair enough,neutral
Super easy to use,positive
Terrible service,negative
Very disappointed,negative
Fantastic support,positive
Decent overall,neutral
Nothing special,neutral
Poor quality,negative
Works perfectly,positive
Amazing experience,positive
Works perfectly,positive
Terrible service,negative
Support was rude,negative
Fair enough,neutral
App keeps crashing,negative
Decent overall,neutral
Support was rude,negative
Delivery was late,negative
Decent overall,neutral
Support was rude,negative
Works perfectly,positive
Waste of money,negative
Fast delivery,positive
Delivery was late,negative
Not worth it,negative
Works perfectly,positive
Terrible service,negative
Fair enough,neutral
It is okay,neutral
Fantastic support,positive
Excellent quality,positive
Waste of money,negative
Bad experience,negative
App keeps crashing,negative
Works as expected,neutral
Bad experience,negative
It is okay,neutral
Very satisfied,positive
Nothing special,neutral
Waste of money,negative
Average product,neutral
Very disappointed,negative
Fast delivery,positive
Fair enough,neutral
Great product,positive
Bad experience,negative
Fast delivery,positive
Not worth it,negative
It is okay,neutral
Average product,neutral
Fair enough,neutral
Bad experience,negative
Very satisfied,positive
Bad experience,negative
It is okay,neutral
Waste of money,negative
Bad experience,negative
Fantastic support,positive
Average product,neutral
Terrible service,negative
Terrible service,negative
Super easy to use,positive
Nothing special,neutral
Super easy to use,positive
Amazing experience,positive
Decent overall,neutral
Delivery was late,negative
Very satisfied,positive
Highly recommend,positive
Terrible service,negative
Support was rude,negative
Super easy to use,positive
Support was rude,negative
Very satisfied,positive
Not worth it,negative
Works perfectly,positive
Very disappointed,negative
Excellent quality,positive
Works as expected,neutral
Delivery was late,negative
Delivery was late,negative
Amazing experience,positive
Great product,positive
Highly recommend,positive
Amazing experience,positive
Very disappointed,negative
Delivery was late,negative
Great product,positive
Average product,neutral
Fast delivery,positive
Super easy to use,positive
Poor quality,negative
Terrible service,negative
Fast delivery,positive
Great product,positive
Delivery was late,negative
Poor quality,negative
Fast delivery,positive
App keeps crashing,negative
Highly recommend,positive
Fast delivery,positive
Super easy to use,positive
Terrible service,negative
Nothing special,neutral
Works perfectly,positive
Bad experience,negative
Delivery was late,negative
Waste of money,negative
Fantastic support,positive
Excellent quality,positive
Delivery was late,negative
Very satisfied,positive
Super easy to use,positive
Very satisfied,positive
Fair enough,neutral
Works perfectly,positive
Great product,positive
Fantastic support,positive
Fast delivery,positive
Very satisfied,positive
Waste of money,negative
Great product,positive
Waste of money,negative
Very satisfied,positive
Fantastic support,positive
It is okay,neutral
Highly recommend,positive
Delivery was late,negative
Super easy to use,positive
Excellent quality,positive
Works perfectly,positive
Amazing experience,positive
It is okay,neutral
Average product,neutral
Very disappointed,negative
Fair enough,neutral
Average product,neutral
Highly recommend,positive
Delivery was late,negative
Super easy to use,positive
Fantastic support,positive
Fast delivery,positive
Average product,neutral
Bad experience,negative
Fantastic support,positive
Highly recommend,positive
Fantastic support,positive
Great product,positive
Bad experience,negative
Delivery was late,negative
It is okay,neutral
Decent overall,neutral
Amazing experience,positive
Fantastic support,positive
Very satisfied,positive
Support was rude,negative
Delivery was late,negative
Nothing special,neutral
Bad experience,negative
Bad experience,negative
Fantastic support,positive
Great product,positive
Poor quality,negative
Very disappointed,negative
Terrible service,negative
Not worth it,negative
Terrible service,negative
Poor quality,negative
Very satisfied,positive
Poor quality,negative
Decent overall,neutral
Super easy to use,positive
Support was rude,negative
Delivery was late,negative
Great product,positive
Delivery was late,negative
Decent overall,neutral
Poor quality,negative
Poor quality,negative
Poor quality,negative
Fast delivery,positive
Works perfectly,positive
Highly recommend,positive
Excellent quality,positive
Waste of money,negative
Very disappointed,negative
Waste of money,negative
Poor quality,negative
Very satisfied,positive
Great product,positive
Support was rude,negative
Not worth it,negative
Works perfectly,positive
Terrible service,negative
Bad experience,negative
Super easy to use,positive
Super easy to use,positive
Works as expected,neutral
Bad experience,negative
Support was rude,negative
Not worth it,negative
Poor quality,negative
Nothing special,neutral
Very disappointed,negative
Excellent quality,positive
Works as expected,neutral
Fantastic support,positive
Bad experience,negative
Great product,positive
Amazing experience,positive
Super easy to use,positive
Waste of money,negative
Amazing experience,positive
Works as expected,neutral
Amazing experience,positive
Poor quality,negative
Works as expected,neutral
Super easy to use,positive
Nothing special,neutral
Not worth it,negative
Works as expected,neutral
Waste of money,negative
Highly recommend,positive
Delivery was late,negative
Delivery was late,negative
Not worth it,negative
Super easy to use,positive
Fantastic support,positive
Decent overall,neutral
Fantastic support,positive
It is okay,neutral
It is okay,neutral
Highly recommend,positive
It is okay,neutral
Not worth it,negative
Fair enough,neutral
Fast delivery,positive
Excellent quality,positive
Delivery was late,negative
Great product,positive
Terrible service,negative
Fast delivery,positive
Poor quality,negative
Poor quality,negative
Decent overall,neutral
Fair enough,neutral
Average product,neutral
Support was rude,negative
Support was rude,negative
Terrible service,negative
Terrible service,negative
App keeps crashing,negative
Works as expected,neutral
Delivery was late,negative
Very satisfied,positive
Highly recommend,positive
Amazing experience,positive
Amazing experience,positive
Great product,positive
Delivery was late,negative
Poor quality,negative
Not worth it,negative
Delivery was late,negative
Very satisfied,positive
Fast delivery,positive
Terrible service,negative
Great product,positive
Excellent quality,positive
Very satisfied,positive
Nothing special,neutral
Terrible service,negative
Bad experience,negative
Terrible service,negative
App keeps crashing,negative
Average product,neutral
